wavenumer,ExptAbs,fitAbs,1_Anchor,2_PrimaryAmide(NH2),4_Core_Beta,5_PPII_Coil,6_Beta_Turn,7_PrimaryAmide(C=O),8_High_Beta
1647.0,0.01828142857142857,0.01924391126138758,1.4219826439699796e-09,8.710733630929878e-07,0.0014249214659096602,0.017617888272615175,0.00020022896546494234,6.205206981483395e-11,8.913816966009458e-27
1646.0,0.019908571428571428,0.020119055929317484,2.7092396656395067e-09,1.4796926809944672e-06,0.0018100990061308555,0.018158952432367623,0.00014852207165463727,1.724370529585733e-11,8.009292050469522e-28
1645.0,0.02123571428571429,0.020991864932198144,5.09072993073707e-09,2.4523655757286344e-06,0.002279085470748358,0.01860167078340351,0.00010865121714523415,4.59538264831406e-12,6.808360733189324e-29
1644.0,0.02216285714285714,0.021864742103562224,9.433920080007574e-09,3.965480240579535e-06,0.0028442369669821233,0.01893814075707866,7.83894641663469e-05,1.174436491235982e-12,5.475313578618379e-30
1643.0,0.022789999999999998,0.02274249887080136,1.7241848721996178e-08,6.256093956933865e-06,0.003518178113912124,0.019162269759797065,5.5777660998675626e-05,2.878419991585206e-13,4.165752328769902e-31
1642.0,0.023517142857142855,0.02363213162265287,3.1078136543865455e-08,9.62958626942084e-06,0.004313370364429392,0.019269958648633446,3.914194511641394e-05,6.76543236138247e-14,2.9984437432911573e-32
1641.0,0.024344285714285714,0.024542416823340348,5.5246607309022344e-08,1.446135167019213e-05,0.0052415841117652165,0.019259226424766008,2.7089688516373e-05,1.524943381072591e-14,2.041814927757577e-33
1640.0,0.025171428571428574,0.02548332977928319,9.685805828310256e-08,2.118883308818104e-05,0.00631328289328336,0.019130270845279636,1.849034957043429e-05,3.296314574857785e-15,1.3153909651917222e-34
1639.0,0.02599857142857143,0.026465302978165278,1.6747323380901332e-07,3.0290196156174487e-05,0.007536935916495298,0.018885462362322688,1.2447029956624864e-05,6.833140504108574e-16,8.016990054750044e-36
1638.0,0.026625714285714287,0.027498351148867298,2.855844502103202e-07,4.224682007185173e-05,0.008918283560597417,0.018529271649138725,8.263534608960288e-06,1.3584035867988924e-16,4.6225950027502165e-37
1637.0,0.02765285714285714,0.02859110227817305,4.802896300843848e-07,5.748874894324949e-05,0.010459588830323566,0.018068133808774377,5.410600501750715e-06,2.5897274317597772e-17,2.5216125450023915e-38
1636.0,0.02958,0.02974978602627628,7.966202933195477e-07,7.632531121229229e-05,0.012158915214219758,0.01751025502786786,3.4938526830451033e-06,4.734739212175096e-18,1.3013343025373396e-39
1635.0,0.03220714285714286,0.030977242141264193,1.303103837622175e-06,9.886696517248031e-05,0.014009477213866264,0.016865369790774437,2.2250676133898937e-06,8.3014668499982655e-19,6.353564005906054e-41
1634.0,0.034134285714285714,0.03227202003321463,2.1022588265840306e-06,0.00012494840483893093,0.015999113153762033,0.016144458685146894,1.3975306401899206e-06,1.3958231002628014e-19,2.9347016170208736e-42
1633.0,0.03506142857142858,0.033627644860953224,3.3448207441746074e-06,0.00015406611177997271,0.018109930030853785,0.015359438214420281,8.656831550101383e-07,2.2507263403989423e-20,1.282414747516658e-43
1632.0,0.03558857142857143,0.03503212360619102,5.2485460739760915e-06,0.00018534480674950308,0.02031816657375028,0.014522834825246595,5.288543706670392e-07,3.480420951119671e-21,5.3016501574127977e-45
1631.0,0.036115714285714286,0.036467755406710003,8.12240578602539e-06,0.00021754575579504697,0.02259431307473314,0.013647455535943855,3.186344519370727e-07,5.161282418746365e-22,2.07353628413748e-46
1630.0,0.03704285714285714,0.037911293482802005,1.2396807393060691e-05,0.0002491252234385565,0.024903514987629705,0.012746067130228397,1.8933411228710775e-07,7.340070679256899e-23,7.672382086811519e-48
1629.0,0.03837,0.03933448205407647,1.8660124088285255e-05,0.00027834388266087567,0.02720627218412993,0.011831094908803179,1.1095439420296642e-07,1.0010588942564008e-23,2.6857576187356984e-49
1628.0,0.04009714285714285,0.040704962679528514,2.7701207712131367e-05,0.00030341884730895663,0.029459427947718726,0.010914350549976993,6.412681170877509e-08,1.3092897985846355e-24,8.894497561822549e-51
1627.0,0.04182428571428572,0.04198751348666105,4.055667874556079e-05,0.000322701007019546,0.031617422425541365,0.010006796823089721,3.655226485714949e-08,1.6422100596612252e-25,2.78672449342755e-52
1626.0,0.043051428571428574,0.04314555539861963,5.856060625758615e-05,0.00033485360632301163,0.03363376579386239,0.009118354844229563,2.0547947078251093e-08,1.9753242752160007e-26,8.260087720733787e-54
1625.0,0.04387857142857143,0.044142835274828165,8.339274091255921e-05,0.00033900533581777156,0.03546266841765897,0.008257757388383483,1.1392055383771672e-08,2.2785830496080047e-27,2.3162919323481007e-55
