wavenumber,Absorbance
2772.00,0.0068
2771.00,0.0068
2770.00,0.0068
2769.00,0.0068
2768.00,0.0068
2767.00,0.0068
2766.00,0.0068
2765.00,0.0068
2764.00,0.0068
2763.00,0.0068
2762.00,0.0068
2761.00,0.0068
2760.00,0.0068
2759.00,0.0068
2758.00,0.0068
2757.00,0.0068
2756.00,0.0068
2755.00,0.0067
2754.00,0.0067
2753.00,0.0067
2752.00,0.0067
2751.00,0.0067
2750.00,0.0067
2749.00,0.0067
2748.00,0.0067
2747.00,0.0067
2746.00,0.0067
2745.00,0.0067
2744.00,0.0067
2743.00,0.0067
2742.00,0.0067
2741.00,0.0067
2740.00,0.0067
2739.00,0.0067
2738.00,0.0067
2737.00,0.0067
2736.00,0.0067
2735.00,0.0067
2734.00,0.0067
2733.00,0.0067
2732.00,0.0067
2731.00,0.0066
2730.00,0.0066
2729.00,0.0066
2728.00,0.0066
2727.00,0.0066
2726.00,0.0066
2725.00,0.0066
2724.00,0.0066
2723.00,0.0066
2722.00,0.0065
2721.00,0.0065
2720.00,0.0065
2719.00,0.0065
2718.00,0.0065
2717.00,0.0065
2716.00,0.0065
2715.00,0.0065
2714.00,0.0065
2713.00,0.0065
2712.00,0.0065
2711.00,0.0065
2710.00,0.0065
2709.00,0.0065
2708.00,0.0065
2707.00,0.0065
2706.00,0.0064
2705.00,0.0064
2704.00,0.0064
2703.00,0.0064
2702.00,0.0064
2701.00,0.0064
2700.00,0.0064
2699.00,0.0064
2698.00,0.0064
2697.00,0.0064
2696.00,0.0064
2695.00,0.0064
2694.00,0.0064
2693.00,0.0064
2692.00,0.0064
2691.00,0.0064
2690.00,0.0064
2689.00,0.0064
2688.00,0.0064
2687.00,0.0064
2686.00,0.0064
2685.00,0.0064
2684.00,0.0064
2683.00,0.0064
2682.00,0.0063
2681.00,0.0063
2680.00,0.0063
2679.00,0.0063
2678.00,0.0063
2677.00,0.0063
2676.00,0.0063
2675.00,0.0063
2674.00,0.0063
2673.00,0.0063
2672.00,0.0063
2671.00,0.0063
2670.00,0.0063
2669.00,0.0063
2668.00,0.0063
2667.00,0.0063
2666.00,0.0063
2665.00,0.0063
2664.00,0.0063
2663.00,0.0063
2662.00,0.0063
2661.00,0.0063
2660.00,0.0063
2659.00,0.0063
2658.00,0.0063
2657.00,0.0063
2656.00,0.0062
2655.00,0.0062
2654.00,0.0062
2653.00,0.0062
2652.00,0.0062
2651.00,0.0062
2650.00,0.0062
2649.00,0.0062
2648.00,0.0062
2647.00,0.0062
2646.00,0.0062
2645.00,0.0062
2644.00,0.0062
2643.00,0.0062
2642.00,0.0062
2641.00,0.0062
2640.00,0.0062
2639.00,0.0062
2638.00,0.0062
2637.00,0.0062
2636.00,0.0062
2635.00,0.0062
2634.00,0.0062
2633.00,0.0062
2632.00,0.0062
2631.00,0.0061
2630.00,0.0061
2629.00,0.0061
2628.00,0.0061
2627.00,0.0061
2626.00,0.0061
2625.00,0.0061
2624.00,0.0061
2623.00,0.0061
2622.00,0.0061
2621.00,0.0061
2620.00,0.0061
2619.00,0.0061
2618.00,0.0061
2617.00,0.0061
2616.00,0.0061
2615.00,0.0061
2614.00,0.0060
2613.00,0.0060
2612.00,0.0060
2611.00,0.0061
2610.00,0.0061
2609.00,0.0061
2608.00,0.0060
